State,LSS1 Projects,LSS1 Capacity (MW),LSS2 Projects,LSS2 Capacity (MW),Direct Award Projects,Direct Award Capacity (MW),Total Projects,Total Capacity (MW)
Johor,1.0,1.0,29.0,3.0,39.99,0.0,0.0,4.0
Kedah,3.0,3.0,69.0,6.0,125.89,3.0,110.0,12.0
Kelantan,0.0,0.0,0.0,2.0,39.99,0.0,0.0,2.0
Melaka,0.0,0.0,0.0,1.0,6.8,1.0,50.0,2.0
Negeri Sembilan,3.0,3.0,61.0,2.0,60.0,0.0,0.0,5.0
Pahang,1.0,1.0,50.0,2.0,59.916,0.0,0.0,3.0
Perak,2.0,2.0,79.0,7.0,69.87,0.0,0.0,9.0
Perlis,1.0,1.0,3.996,1.0,30.0,0.0,0.0,2.0
Selangor,1.0,1.0,50.0,5.0,37.942,0.0,0.0,6.0
Terengganu,2.0,2.0,22.0,2.0,34.99,1.0,50.0,5.0
Sabah,2.0,2.0,11.9,8.0,39.6,2.0,50.0,12.0
