STATE,DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,0V,DEC,ANNUAL RAINFALL,FLOOD 
108,108001,2000,158.83,162.37,210.68,192.51,214.73,157.55,98.8,165.63,289.14,388.77,313.59,213.6,2566.19,0
108,108001,2001,159.1,41.71,174.5,220.56,177.65,105.61,166.59,193.88,206.4,298.14,232.54,150.82,2127.5,1
108,108001,2002,61.25,50.34,88.15,207.13,115.01,96.08,115.78,111.12,285.96,206.94,261.33,264.61,1863.7,1
108,108001,2003,82.88,118.04,193.4,100.36,101.07,166.81,167.61,270.87,238.84,682.07,251.46,182.35,2555.77,1
108,108001,2004,119.3,71.16,120.8,138.74,120.27,146.03,145.35,172.92,222.61,360.21,187.22,168.79,1973.39,1
108,108001,2005,84.15,47.09,88.05,123.55,253.45,132.78,162.61,169.94,148.08,299.61,341.91,339.13,2190.35,1
108,108001,2006,90.83,127.49,175.04,119.93,293.02,165.67,154.75,142.26,194.63,210.24,226,174.45,2074.29,1
108,108001,2007,158.03,37.58,120.41,207.85,126.68,115.44,204.21,185.02,301.72,311.37,197.08,191.26,2156.66,0
108,108001,2008,113.2,78.19,175.6,177.84,132.85,199.12,200.79,210.29,273.89,319.17,392.31,297.75,2571.02,1
108,108001,2009,169.22,102.84,271.61,198.05,271.25,81.73,192.86,348.74,187.08,205.45,377.02,268.9,2674.74,1
108,108001,2010,96.16,37.39,97.46,146.01,134.61,231.6,181.43,154.27,147.93,231.68,434.97,324.4,2217.9,1
108,108002,2000,201.77,159.99,161.71,200.21,169.42,134.22,93.53,158.69,278.2,359.39,225.16,215.07,2357.34,0
108,108002,2001,195.54,62.72,169.52,234.81,148.06,105.7,139.18,165.81,193.88,286.65,219.77,154.14,2075.78,0
108,108002,2002,99.01,75.16,109.48,214.21,127.29,83.69,105.17,96.01,286.43,210.21,220.33,246.08,1873.07,1
108,108002,2003,125.06,168.5,161.95,147.36,114.25,158.87,151.67,215.65,216.04,612.32,235.83,190.55,2498.04,1
108,108002,2004,164.51,114.29,144.03,154.36,108.58,117.25,165.95,138.12,197.36,330.42,184.35,179.39,1998.6,1
108,108002,2005,89.12,46.96,91.81,151.92,207.32,116.86,155.99,207.71,153.6,325.94,328.05,312.15,2187.42,0
108,108002,2006,123.72,176.58,192.95,179.45,259.17,147.42,141.97,163.98,215.69,226.87,232.33,201.66,2261.78,1
108,108002,2007,201.77,51.89,116.02,222.62,109.21,117.56,198.76,175.72,256.69,287.13,205.42,202,2144.78,0
108,108002,2008,160.38,92.92,247.45,189.21,110.44,186.03,216.3,253.05,259.98,366.81,330.02,267.94,2680.55,0
108,108002,2009,211.74,121.99,313.9,195.35,245.79,89.16,191.07,332.59,206.85,218.62,326.82,301.75,2755.62,0
108,108002,2010,152.85,52.1,110.76,169.12,174.18,210.96,160.03,146.44,144.58,178.93,372.5,285.51,2157.96,1
108,108003,2000,201.77,159.99,161.71,200.21,169.42,134.22,93.53,158.69,278.2,359.39,225.16,215.07,2357.34,0
108,108003,2001,195.54,62.72,169.52,234.81,148.06,105.7,139.18,165.81,193.88,286.65,219.77,154.14,2075.78,0
108,108003,2002,99.01,75.16,109.48,214.21,127.29,83.69,105.17,96.01,286.43,210.21,220.33,246.08,1873.07,1
108,108003,2003,125.06,168.5,161.95,147.36,114.25,158.87,151.67,215.65,216.04,612.32,235.83,190.55,2498.04,1
108,108003,2004,164.51,114.29,144.03,154.36,108.58,117.25,165.95,138.12,197.36,330.42,184.35,179.39,1998.6,1
108,108003,2005,89.12,46.96,91.81,151.92,207.32,116.86,155.99,207.71,153.6,325.94,328.05,312.15,2187.42,0
108,108003,2006,123.72,176.58,192.95,179.45,259.17,147.42,141.97,163.98,215.69,226.87,232.33,201.66,2261.78,1
108,108003,2007,201.77,51.89,116.02,222.62,109.21,117.56,198.76,175.72,256.69,287.13,205.42,202,2144.78,1
108,108003,2008,160.38,92.92,247.45,189.21,110.44,186.03,216.3,253.05,259.98,366.81,330.02,267.94,2680.55,1
108,108003,2009,211.74,121.99,313.9,195.35,245.79,89.16,191.07,332.59,206.85,218.62,326.82,301.75,2755.62,0
108,108003,2010,152.85,52.1,110.76,169.12,174.18,210.96,160.03,146.44,144.58,178.93,372.5,285.51,2157.96,1
108,108004,2000,201.77,159.99,161.71,200.21,169.42,134.22,93.53,158.69,278.2,359.39,225.16,215.07,2357.34,0
108,108004,2001,195.54,62.72,169.52,234.81,148.06,105.7,139.18,165.81,193.88,286.65,219.77,154.14,2075.78,0
108,108004,2002,99.01,75.16,109.48,214.21,127.29,83.69,105.17,96.01,286.43,210.21,220.33,246.08,1873.07,0
108,108004,2003,125.06,168.5,161.95,147.36,114.25,158.87,151.67,215.65,216.04,612.32,235.83,190.55,2498.04,0
108,108004,2004,164.51,114.29,144.03,154.36,108.58,117.25,165.95,138.12,197.36,330.42,184.35,179.39,1998.6,0
108,108004,2005,89.12,46.96,91.81,151.92,207.32,116.86,155.99,207.71,153.6,325.94,328.05,312.15,2187.42,1
108,108004,2006,123.72,176.58,192.95,179.45,259.17,147.42,141.97,163.98,215.69,226.87,232.33,201.66,2261.78,0
108,108004,2007,201.77,51.89,116.02,222.62,109.21,117.56,198.76,175.72,256.69,287.13,205.42,202,2144.78,0
108,108004,2008,160.38,92.92,247.45,189.21,110.44,186.03,216.3,253.05,259.98,366.81,330.02,267.94,2680.55,1
108,108004,2009,211.74,121.99,313.9,195.35,245.79,89.16,191.07,332.59,206.85,218.62,326.82,301.75,2755.62,0
108,108004,2010,152.85,52.1,110.76,169.12,174.18,210.96,160.03,146.44,144.58,178.93,372.5,285.51,2157.96,0
108,108005,2000,242.46,154.3,133.97,222.23,140.71,121.64,102.17,167.87,272.69,333.24,237.57,254.52,2383.36,0
108,108005,2001,253.51,83.35,183.91,270.37,125.66,116.48,130.62,152.15,192.22,287.87,219.26,188.22,2203.62,0
108,108005,2002,125.01,95.57,127.36,236.05,137.2,83.3,102.35,105.09,283.93,216.03,236.31,247.78,1995.97,0
108,108005,2003,166.55,201.53,156.55,201.59,125.33,147.65,153.02,176.44,195.85,527.21,259.1,222.56,2533.38,0
108,108005,2004,196.38,164.85,164.18,177.01,107.41,97.89,206.1,112.52,182.2,304.78,216.46,192.76,2122.54,1
108,108005,2005,90.05,61.39,109.93,175.01,176.41,109.24,153.19,223.59,164.87,349.17,310.95,309.87,2233.68,0
108,108005,2006,169.43,241.78,211.93,222.1,226.06,144.03,133.29,180.11,243.89,251.74,267.89,247.77,2540.01,1
108,108005,2007,245.01,74.06,124.8,256.28,97.06,136.94,194.34,162.92,194.99,280.25,223.68,217.76,2208.09,1
108,108005,2008,206.91,109.64,314.06,197.08,100.26,171.25,211.13,272.89,220.48,392.57,318.27,263.86,2778.4,0
108,108005,2009,249.18,132.96,340.12,193.06,194.74,96.03,172.75,274.98,227.39,237.31,315.33,329.84,2763.68,0
108,108005,2010,203.54,84.61,130.32,204.71,222.68,183.4,150.34,146.92,158.9,145.86,318.87,262.74,2212.87,0
108,108006,2000,150.39,151.15,247.84,227.84,122.43,128.73,124.33,111.57,268.43,264.3,798.08,470.09,3065.18,0
108,108006,2001,225.51,43.44,208.09,129.74,144.54,67.89,162.57,157.56,197.91,277.02,323.16,316.33,2253.75,1
108,108006,2002,54.66,31.41,76.88,139.27,140.57,114.81,99.46,128.25,174.4,189.55,484.12,382.96,2016.35,1
108,108006,2003,85.81,76.8,160.47,68.23,82.9,160.8,176.73,191.78,165.99,521.13,406.46,319.02,2416.12,1
108,108006,2004,78.06,44.12,68.76,79.98,98.85,120.04,153.97,148.98,260.01,410.27,285.05,220.55,1968.62,1
108,108006,2005,68.02,26.23,102.83,63.77,210.4,173.42,128.7,121.62,151.65,317.18,414.39,594.71,2372.94,1
108,108006,2006,115.84,108.2,128.82,74.91,270.29,167.09,150.36,122.65,198.97,193.01,301.17,226.35,2057.66,1
108,108006,2007,150.65,27.53,117.1,135.52,120.3,96.03,182.81,195.08,260.54,321.49,228.24,243.91,2079.21,1
108,108006,2008,106.7,96.85,102,106.4,158.44,174.6,145.26,161.7,150.5,194.95,805.93,651.13,2854.46,1
108,108006,2009,261.74,51.6,260.48,159.23,191.43,74.48,165.08,218,139.66,189.87,599.54,325.45,2636.55,1
108,108006,2010,87.46,30.39,68.81,90.83,120.38,167.62,208.45,138.31,138.93,275.79,622.9,527.91,2477.77,1
109,109001,2000,67.67,95.16,232.37,221.33,247.48,221.55,109.29,214.78,284.7,291.27,437.54,216.09,2639.22,0
109,109001,2001,186.43,18.5,189.69,185.57,148.93,149.56,170.67,201.38,208.25,352.3,196.86,179.36,2187.49,0
109,109001,2002,9.1,9.22,42.87,189.54,132.19,97.66,134.59,172.63,230.75,221.38,289.01,197.4,1726.33,0
109,109001,2003,27.35,32.42,191.05,63.11,131.09,142.49,184.87,308.08,267.26,589.99,223.87,147.01,2308.59,0
109,109001,2004,29.91,54.33,78.92,141.51,175.71,204.07,153.2,183.89,240.6,300.02,146.79,91.12,1800.07,0
109,109001,2005,30.76,36.53,110.32,80.67,281.75,143.64,153.41,173.12,137.91,285.54,331.43,485.01,2250.09,1
109,109001,2006,47.54,113.81,172.89,135.03,242.43,198.81,176.63,113.09,211.81,215.53,176.7,111.31,1915.57,1
109,109001,2007,117.39,23.37,117.85,192.06,142.45,191.61,246.15,205.22,257.91,332.48,204.06,173.02,2203.57,0
109,109001,2008,61.66,62.83,93.01,169.19,185.28,232.42,189.51,184.18,234.99,345.18,374.49,241.83,2374.57,0
109,109001,2009,86.13,35.56,237.37,183.95,239.64,54.51,177.39,294.59,205.61,215.24,474.45,100.8,2305.25,1
109,109001,2010,76.4,25.41,79.18,143.44,121.83,266.44,181.06,159.4,189.09,287.21,481.88,305.1,2316.45,1
102,102001,2000,67.67,95.16,232.37,221.33,247.48,221.55,109.29,214.78,284.7,291.27,437.54,216.09,2639.22,0
102,102001,2001,186.43,18.5,189.69,185.57,148.93,149.56,170.67,201.38,208.25,352.3,196.86,179.36,2187.49,0
102,102001,2002,9.1,9.22,42.87,189.54,132.19,97.66,134.59,172.63,230.75,221.38,289.01,197.4,1726.33,1
102,102001,2003,27.35,32.42,191.05,63.11,131.09,142.49,184.87,308.08,267.26,589.99,223.87,147.01,2308.59,1
102,102001,2004,29.91,54.33,78.92,141.51,175.71,204.07,153.2,183.89,240.6,300.02,146.79,91.12,1800.07,0
102,102001,2005,30.76,36.53,110.32,80.67,281.75,143.64,153.41,173.12,137.91,285.54,331.43,485.01,2250.09,1
102,102001,2006,47.54,113.81,172.89,135.03,242.43,198.81,176.63,113.09,211.81,215.53,176.7,111.31,1915.57,1
