date,state,area
2003-01-01,Johor,356922.0
2003-01-01,Kedah,344530.0
2003-01-01,Kelantan,629687.0
2003-01-01,Melaka,5468.0
2003-01-01,Negeri Sembilan,165639.0
2003-01-01,Pahang,1524132.0
2003-01-01,Perak,884205.0
2003-01-01,Perlis,10718.0
2003-01-01,Pulau Pinang,5139.0
2003-01-01,Sabah,3563186.0
2003-01-01,Sarawak,4836800.0
2003-01-01,Selangor,233781.0
2003-01-01,Semenanjung Malaysia,4696211.0
2003-01-01,Terengganu,535929.0
2003-01-01,W.P. Kuala Lumpur,61.0
2003-01-01,W.P. Labuan,0.0
2003-01-01,W.P. Putrajaya,0.0
2004-01-01,Johor,355772.0
2004-01-01,Kedah,342613.0
2004-01-01,Kelantan,629367.0
2004-01-01,Melaka,5185.0
2004-01-01,Negeri Sembilan,162075.0
2004-01-01,Pahang,1524132.0
2004-01-01,Perak,884205.0
2004-01-01,Perlis,10718.0
2004-01-01,Pulau Pinang,5434.0
2004-01-01,Sabah,3543186.0
2004-01-01,Sarawak,4806300.0
2004-01-01,Selangor,233781.0
2004-01-01,Semenanjung Malaysia,4683505.0
2004-01-01,Terengganu,530162.0
2004-01-01,W.P. Kuala Lumpur,61.0
2004-01-01,W.P. Labuan,0.0
2004-01-01,W.P. Putrajaya,0.0
2005-01-01,Johor,375864.0
2005-01-01,Kedah,342613.0
2005-01-01,Kelantan,629687.0
2005-01-01,Melaka,5185.0
2005-01-01,Negeri Sembilan,160151.0
2005-01-01,Pahang,1519501.0
2005-01-01,Perak,884205.0
2005-01-01,Perlis,10718.0
2005-01-01,Pulau Pinang,5434.0
2005-01-01,Sabah,3523186.0
2005-01-01,Sarawak,4779900.0
2005-01-01,Selangor,239782.0
2005-01-01,Semenanjung Malaysia,4711264.0
2005-01-01,Terengganu,538063.0
2005-01-01,W.P. Kuala Lumpur,61.0
2005-01-01,W.P. Labuan,0.0
2005-01-01,W.P. Putrajaya,0.0
2006-01-01,Johor,391499.0
2006-01-01,Kedah,342613.0
2006-01-01,Kelantan,629687.0
2006-01-01,Melaka,5159.0
2006-01-01,Negeri Sembilan,156275.0
2006-01-01,Pahang,1519501.0
2006-01-01,Perak,884205.0
2006-01-01,Perlis,10718.0
2006-01-01,Pulau Pinang,5434.0
2006-01-01,Sabah,3503186.0
2006-01-01,Sarawak,4778300.0
2006-01-01,Selangor,235212.0
2006-01-01,Semenanjung Malaysia,4726182.0
2006-01-01,Terengganu,545818.0
2006-01-01,W.P. Kuala Lumpur,61.0
2006-01-01,W.P. Labuan,0.0
2006-01-01,W.P. Putrajaya,0.0
2007-01-01,Johor,391499.0
2007-01-01,Kedah,342613.0
2007-01-01,Kelantan,629687.0
2007-01-01,Melaka,5079.0
2007-01-01,Negeri Sembilan,154185.0
2007-01-01,Pahang,1484099.0
2007-01-01,Perak,884205.0
2007-01-01,Perlis,10718.0
2007-01-01,Pulau Pinang,6098.0
2007-01-01,Sabah,3604867.0
2007-01-01,Sarawak,4692900.0
2007-01-01,Selangor,241568.0
2007-01-01,Semenanjung Malaysia,4695630.0
2007-01-01,Terengganu,545818.0
2007-01-01,W.P. Kuala Lumpur,61.0
2007-01-01,W.P. Labuan,0.0
2007-01-01,W.P. Putrajaya,0.0
2008-01-01,Johor,441251.0
2008-01-01,Kedah,342613.0
2008-01-01,Kelantan,623849.0
2008-01-01,Melaka,5080.0
2008-01-01,Negeri Sembilan,155909.0
2008-01-01,Pahang,1562496.0
2008-01-01,Perak,873936.0
2008-01-01,Perlis,10586.0
2008-01-01,Pulau Pinang,6098.0
2008-01-01,Sabah,3604867.0
